,Loan Type,Loan Amount,Type of city,Gender,Age,Marital Status,Qualification,Employment,Loan Entity,No. of Loans,Debt,Loan Term,Annual_Income,Defaulting Payment Status,Monthly EMI,Payment_History_Monthly,Intrest Rate (Anual),Debt (Approx Anual Debt Amount),Debt to Income Ratio,Assets,distance_from_center,clusters,credit_score,Segment
0,0.75,0.15197111044237135,0.0,1.0,0.5526315789473684,0.5,0.6000000000000001,1.0,0.3333333333333333,0.3333333333333333,1.0,0.8260869565217391,0.46972529843233135,0.0,0.12092743149653719,0.07322385151117068,0.45546372819100095,0.15248384940966808,0.027030379781472227,0.2,0.78606945817894,3,6.741617412509103,Excellent
1,0.75,0.1363226000601866,0.3333333333333333,1.0,0.39473684210526305,0.5,0.2,0.0,0.3333333333333333,0.0,1.0,0.8260869565217391,0.13087875737091903,0.0,0.10840108401084012,0.09593923806664592,0.4586776859504133,0.13677879260414347,0.08640579281629437,1.0,1.1624754345353079,3,6.733789977348867,Excellent
2,0.0,0.02427525328518407,0.0,0.0,0.1578947368421052,0.0,0.2,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6521739130434783,0.08298576154178051,0.0,0.02368780487804878,0.02156869636878057,0.2699724517906336,0.024838494096680777,0.02460748624188076,0.2,0.7982869530239983,1,1.0051491346735526,Low
3,0.0,0.0032099508476276456,0.0,0.0,0.39473684210526305,0.5,0.2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21739130434782608,0.006615849273694808,0.0,0.008966455886781091,0.008644693069513805,0.44949494949494945,0.0037870349743818225,0.03997387328568778,0.2,1.006108382986715,1,0.4436637370505361,Low
4,0.5,0.018557528337847327,0.6666666666666667,1.0,0.1578947368421052,1.0,0.8,0.5,0.0,0.0,0.6666666666666666,0.4782608695652174,0.11635265353084999,0.0,0.02435700090334237,0.022156189515222566,0.243801652892562,0.019157941635108044,0.01359675111512378,0.4,1.1863111176886512,0,5.41712615761723,Excellent
5,0.25,0.01745410773397532,0.0,1.0,0.4473684210526314,0.5,1.0,0.5,1.0,0.0,0.6666666666666666,0.4782608695652174,0.15087012800230118,0.0,0.022884673291177358,0.02086362000080447,0.27180899908172634,0.01804410781911339,0.009901234625443874,0.8,0.9590914994437378,3,4.66626940469825,Good
6,0.75,0.04875112849834487,0.3333333333333333,1.0,0.7105263157894737,1.0,0.4,1.0,0.3333333333333333,0.0,0.6666666666666666,0.6521739130434783,0.10743563929239176,0.0,0.04817825956037339,0.04306908449915194,0.5918273645546372,0.049342838048563153,0.03789151194084265,0.0,1.0083997026786278,3,6.269525774797185,Excellent
7,0.5,0.0045139933794763765,0.6666666666666667,1.0,0.3421052631578947,0.0,0.0,1.0,0.0,0.0,0.0,0.21739130434782608,0.015532863512153028,0.0,0.012445889792231258,0.011699319062029338,0.3512396694214876,0.0051236355535754065,0.025423303016782965,0.4,1.0653762513599643,0,4.612676125471953,Good
8,0.0,0.008325810011034206,0.3333333333333333,1.0,0.5,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.21739130434782608,0.02329929526822954,0.0,0.022616802168021678,0.020628453557736258,0.17079889807162535,0.008910670527957229,0.030251985275581917,0.0,0.9310731333673775,0,3.1139731716186976,Good
9,0.75,0.20152472665262314,0.0,1.0,0.2894736842105262,0.5,0.2,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8260869565217391,0.22263771034086005,0.0,0.16059403794037944,0.14175989683806453,0.4274563820018364,0.20204945422143017,0.07533706108403335,0.6000000000000001,0.6036221337579055,3,6.432935482343875,Excellent
10,0.25,0.033102618116160096,0.6666666666666667,0.0,0.42105263157894735,0.0,0.2,0.5,0.3333333333333333,0.0,0.6666666666666666,0.4782608695652174,0.11376384294549115,0.0,0.04376175850647396,0.0391917989171262,0.5275482093663912,0.03363778124303854,0.024410516009946988,0.8,0.8531751486428838,1,1.6728775663046807,Low
11,0.5,0.043234025478984854,0.6666666666666667,1.0,0.4473684210526314,0.0,0.2,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6521739130434783,0.16251977563641595,0.0,0.042657994579945804,0.03822279474254118,0.5041322314049586,0.04377366896858989,0.022311503136684056,0.8,0.9108917469012207,0,5.516461283756087,Excellent
12,0.5,0.014244156886347678,0.6666666666666667,0.0,0.3157894736842104,0.5,0.8,0.5,1.0,0.0,0.6666666666666666,0.4782608695652174,0.09262188983172731,1.0,0.01860210779885577,0.01710391764031284,0.2878787878787878,0.0,0.0,0.4,1.1804582080828103,1,4.414562170843588,Good
13,0.0,0.016049754238138227,0.0,1.0,0.36842105263157887,0.5,0.4,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6521739130434783,0.08859485114339133,1.0,0.015457031014754595,0.014342826740404036,0.20752984389348023,0.01659612385832034,0.015415806666944006,0.2,1.2512454712818586,0,5.66959802804482,Excellent
14,0.0,0.005416792055371652,0.3333333333333333,1.0,0.5,0.5,0.0,1.0,0.6666666666666666,0.0,0.0,0.21739130434782608,0.025168991802099812,0.0,0.014854802770249928,0.019669685044881896,0.2571166207529843,0.00601470260637113,0.018977366327713647,0.2,0.7992441675865686,0,3.112518071492756,Good
15,0.75,0.030795465944427725,0.3333333333333333,1.0,0.18421052631578938,0.5,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6521739130434783,0.06299439091039838,0.0,0.030211623005118943,0.02729601436444006,0.1923783287419651,0.031410113611049235,0.04079449760663976,0.4,0.8237677133405268,3,6.260544294709478,Excellent
16,0.75,0.07382886949543586,0.0,0.0,0.3157894736842104,0.5,0.2,1.0,1.0,0.0,0.6666666666666666,0.4782608695652174,0.1653962318423702,0.0,0.09809623607347184,0.16656940673216392,0.09274563820018361,0.07440409890844286,0.03726945400858521,0.0,0.9202911735250134,1,3.1938586048447632,Good
17,0.75,0.1065302437556425,0.0,0.0,0.36842105263157887,0.5,0.2,1.0,1.0,0.3333333333333333,0.6666666666666666,0.4782608695652174,0.2755645045304185,0.0,0.14172454080096358,0.1251941973610688,0.0913682277318641,0.10703942971708622,0.03228142203517274,0.2,0.8627514268957985,1,3.2102159372950014,Good
18,0.25,0.04233122680308958,0.0,0.0,0.36842105263157887,0.5,0.6000000000000001,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4782608695652174,0.2826118222350064,0.0,0.05607419451972298,0.05000099607369321,0.581267217630854,0.04288260191579416,0.012611698657610308,0.4,0.6394201890855508,1,1.6774937460145636,Low
19,0.75,0.22740495536162103,0.0,0.0,0.7368421052631577,1.0,0.4,0.5,1.0,0.0,1.0,0.8260869565217391,0.4691500071911405,0.0,0.18131068955134,0.15994722966528246,0.23048668503213948,0.22789039875250613,0.04044688584494159,0.0,1.341347438003893,1,3.778130390496952,Good
20,0.0,0.011335138930685124,0.0,0.0,0.05263157894736836,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.4782608695652174,0.08255429311088738,0.0,0.01472134899126769,0.01369696494442353,0.22268135904499536,0.011918021831142794,0.011867936876198073,0.8,1.401142424549654,1,0.9116845849048743,Low
21,0.75,0.013642291102417495,0.6666666666666667,0.0,0.5263157894736841,0.0,0.4,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6521739130434783,0.022148712785847836,0.0,0.013048118036735924,0.012228020597704278,0.30991735537190074,0.014257072844731567,0.05077879252080878,0.4,0.8086862305712272,1,3.2507449479992583,Good
22,0.25,0.023573076537265522,0.0,1.0,0.26315789473684204,0.5,0.6000000000000001,0.5,1.0,0.3333333333333333,0.3333333333333333,0.30434782608695654,0.15762980008629368,0.0,0.04717470641373081,0.042188056260103225,0.2832874196510559,0.027845845399866342,0.014629777963899214,0.0,0.8202232814057137,0,4.248869461375164,Good
23,0.75,0.18055973517905508,0.3333333333333333,1.0,0.39473684210526305,0.0,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.8260869565217391,0.16165683877462966,0.0,0.14381210478771456,0.12702688836433237,0.41689623507805335,0.18099799509913123,0.09274349528194777,0.0,0.9883807059767207,3,6.4224487262638155,Excellent
